"maling_files_link","Måling","N","omraade","valg","parti","prosent","mandat","stemmer","Dato","total_mandat_fylke"
"?cmd=Maling&gallupid=1129","Norfakta / FF - 9/6-2011",185,"Osen","Kommunestyrevalg","Ap",29,4,54,2011-06-09,15
"?cmd=Maling&gallupid=1130","Norfakta / RHA - 9/6-2011",500,"Hurum","Kommunestyrevalg","Ap",27.8,8,139,2011-06-09,29
"?cmd=Maling&gallupid=1131","Respons / Aftenp. / BT - 10/6-2011",1000,"Hele landet","Kommunestyrevalg","Ap",28.4,3372,284,2011-06-10,10952
"?cmd=Maling&gallupid=1132","Norfakta / FF - 10/6-2011",300,"Ørland","Kommunestyrevalg","Ap",13.8,3,41,2011-06-10,25
"?cmd=Maling&gallupid=1133","InFact / VG - 10/6-2011",2049,"Hele landet","Kommunestyrevalg","Ap",29,3452,594,2011-06-10,10952
"?cmd=Maling&gallupid=1134","TNS / TV2 - 10/6-2011",969,"Hele landet","Kommunestyrevalg","Ap",27,3222,262,2011-06-10,10952
"?cmd=Maling&gallupid=1135","Norfakta / Nat. / KK - 11/6-2011",1000,"Hele landet","Stortingsvalg","Ap",30.1,54,301,2011-06-11,169
"?cmd=Maling&gallupid=1136","Sentio / Østl. - 11/6-2011",400,"Elverum","Kommunestyrevalg","Ap",31.3,12,125,2011-06-11,35
"?cmd=Maling&gallupid=1137","Opinion / SB - 11/6-2011",533,"Stjørdal","Kommunestyrevalg","Ap",35,14,187,2011-06-11,43
"?cmd=Maling&gallupid=1138","Respons / Aftenp. / BT - 12/6-2011",1002,"Hele landet","Stortingsvalg","Ap",28,50,281,2011-06-12,169
"?cmd=Maling&gallupid=1139","Norfakta / FF - 14/6-2011",300,"Bjugn","Kommunestyrevalg","Ap",40.1,12,120,2011-06-14,29
"?cmd=Maling&gallupid=1140","Norfakta / HA - 14/6-2011",600,"Haugesund","Kommunestyrevalg","Ap",19.7,10,118,2011-06-14,49
"?cmd=Maling&gallupid=1141","Norfakta / Sandnesp - 14/6-2011",600,"Sandnes","Kommunestyrevalg","Ap",19.8,10,119,2011-06-14,49
"?cmd=Maling&gallupid=1142","Sentio / Østl. - 15/6-2011",350,"Tynset","Kommunestyrevalg","Ap",18.2,5,64,2011-06-15,27
"?cmd=Maling&gallupid=1143","Sentio / DN - 15/6-2011",1000,"Hele landet","Stortingsvalg","Ap",27.1,48,271,2011-06-15,169
"?cmd=Maling&gallupid=1144","Norfakta / HA - 15/6-2011",600,"Karmøy","Kommunestyrevalg","Ap",17.6,8,106,2011-06-15,45
"?cmd=Maling&gallupid=1145","Norstat / NRK - 16/6-2011",NA,"Hele landet","Kommunestyrevalg","Ap",25.3,2159,NA,2011-06-16,10952
"?cmd=Maling&gallupid=1146","Norfakta / Jarlsb - 16/6-2011",500,"Holmestrand","Kommunestyrevalg","Ap",34.4,9,172,2011-06-16,27
"?cmd=Maling&gallupid=1147","Norfakta / RHA - 16/6-2011",500,"Røyken","Kommunestyrevalg","Ap",25.6,7,128,2011-06-16,27
"?cmd=Maling&gallupid=1148","Norfakta / Raumnes - 16/6-2011",NA,"Nes (Ak.)","Kommunestyrevalg","Ap",33.9,12,NA,2011-06-16,35
"?cmd=Maling&gallupid=1149","Opinion / ANB - 17/6-2011",1000,"Hele landet","Stortingsvalg","Ap",31.5,57,315,2011-06-17,169
"?cmd=Maling&gallupid=1150","Respons / Finnmarken / FD / A-pressen - 18/6-2011",600,"Finnmark","Stortingsvalg","Ap",38.4,2,230,2011-06-18,4
"?cmd=Maling&gallupid=1151","Norfakta / Jarlsb - 18/6-2011",250,"Hof","Kommunestyrevalg","Ap",21.5,4,54,2011-06-18,17
"?cmd=Maling&gallupid=1152","Norfakta / ØP - 18/6-2011",NA,"Larvik","Kommunestyrevalg","Ap",26.5,9,NA,2011-06-18,35
"?cmd=Maling&gallupid=1153","Respons / AN / Frem. / HA / LP / RB - 18/6-2011",601,"Nordland","Stortingsvalg","Ap",33.3,4,200,2011-06-18,9
"?cmd=Maling&gallupid=1154","Respons / Nordlys - 18/6-2011",NA,"Troms","Stortingsvalg","Ap",30,2,NA,2011-06-18,6
"?cmd=Maling&gallupid=1155","Sentio / FB - 18/6-2011",500,"Fredrikstad","Kommunestyrevalg","Ap",37,20,185,2011-06-18,53
"?cmd=Maling&gallupid=1156","Norfakta / HB - 17/6-2011",400,"Alstahaug","Kommunestyrevalg","Ap",27.6,7,110,2011-06-17,27
"?cmd=Maling&gallupid=1157","TNS / RA - 20/6-2011",595,"Stavanger","Kommunestyrevalg","Ap",23.1,16,137,2011-06-20,67
"?cmd=Maling&gallupid=1158","Respons / BT - 20/6-2011",609,"Bergen","Kommunestyrevalg","Ap",27.1,18,165,2011-06-20,67
"?cmd=Maling&gallupid=1159","Sentio / MA - 20/6-2011",450,"Moss","Kommunestyrevalg","Ap",32.7,13,147,2011-06-20,39
"?cmd=Maling&gallupid=1160","Respons / RB - 20/6-2011",NA,"Rana","Kommunestyrevalg","Ap",34.7,13,NA,2011-06-20,37
"?cmd=Maling&gallupid=1161","InFact / NTB - 20/6-2011",532,"Skien","Kommunestyrevalg","Ap",31.7,18,169,2011-06-20,55
"?cmd=Maling&gallupid=1162","InFact / NTB - 20/6-2011",538,"Ringerike","Kommunestyrevalg","Ap",26,11,140,2011-06-20,43
"?cmd=Maling&gallupid=1163","InFact / NTB - 20/6-2011",524,"Ålesund","Kommunestyrevalg","Ap",19.1,9,100,2011-06-20,49
"?cmd=Maling&gallupid=1164","InFact / NTB - 20/6-2011",353,"Alta","Kommunestyrevalg","Ap",30.5,11,108,2011-06-20,35
"?cmd=Maling&gallupid=1165","Sentio / MA - 21/6-2011",400,"Vestby","Kommunestyrevalg","Ap",27.3,10,109,2011-06-21,35
"?cmd=Maling&gallupid=1166","Respons / Høyre - 21/6-2011",600,"Ålesund","Kommunestyrevalg","Ap",22.2,11,133,2011-06-21,49
"?cmd=Maling&gallupid=1167","Sentio / SMP / TK / RB / NRK - 21/6-2011",600,"Møre og Romsdal","Fylkestingsvalg","Ap",24.6,11,148,2011-06-21,47
"?cmd=Maling&gallupid=1168","Sentio / MA - 22/6-2011",350,"Våler (Østf.)","Kommunestyrevalg","Ap",16.1,3,56,2011-06-22,21
"?cmd=Maling&gallupid=1169","Sentio / OA - 22/6-2011",400,"Gjøvik","Kommunestyrevalg","Ap",36.7,17,147,2011-06-22,45
"?cmd=Maling&gallupid=1170","Sentio / DT - 22/6-2011",400,"Lier","Kommunestyrevalg","Ap",21.5,11,86,2011-06-22,49
"?cmd=Maling&gallupid=1171","Sentio / DT - 22/6-2011",500,"Drammen","Kommunestyrevalg","Ap",28,14,140,2011-06-22,49
"?cmd=Maling&gallupid=1172","Opinion / MB - 22/6-2011",400,"Malvik","Kommunestyrevalg","Ap",42,13,168,2011-06-22,31
"?cmd=Maling&gallupid=1173","Norfakta / HB - 22/6-2011",176,"Dønna","Kommunestyrevalg","Ap",31.5,5,55,2011-06-22,17
"?cmd=Maling&gallupid=1174","Sentio / MA - 23/6-2011",NA,"Rygge","Kommunestyrevalg","Ap",26.1,7,NA,2011-06-23,27
"?cmd=Maling&gallupid=1175","Norfakta / Frp - 23/6-2011",447,"Fjell","Kommunestyrevalg","Ap",17,8,76,2011-06-23,45
"?cmd=Maling&gallupid=1176","Respons / Adressa - 24/6-2011",805,"Trondheim","Kommunestyrevalg","Ap",32.2,22,259,2011-06-24,67
"?cmd=Maling&gallupid=1177","Sentio / TB - 24/6-2011",400,"Tønsberg","Kommunestyrevalg","Ap",26.4,11,106,2011-06-24,40
"?cmd=Maling&gallupid=1178","Norstat / VL - 24/6-2011",1000,"Hele landet","Stortingsvalg","Ap",27.3,49,273,2011-06-24,169
"?cmd=Maling&gallupid=1179","Norfakta / Frp - 25/6-2011",549,"Sund","Kommunestyrevalg","Ap",17.4,4,96,2011-06-25,25
